Label,Image URI,Plate Number,Provider
"Plate Number 161. Jumping, standing high jump",https://api.nga.gov/iiif/0bad7fcd-dd4c-4494-b34f-0cceeecd21cc/info.json,161,National Gallery of Art
"Plate Number 162. Jumping, standing broad jump",https://api.nga.gov/iiif/5655914d-00f1-4593-936c-ce701407c728/info.json,162,National Gallery of Art
"Plate Number 163. Jumping, standing broad jump",https://api.nga.gov/iiif/5a1a114b-67d8-4199-8807-da00056bae1a/info.json,163,National Gallery of Art
Plate Number 164. Jumping and pole-vaulting,https://api.nga.gov/iiif/b72490c5-2b90-4bb9-9e1e-09945555d79c/info.json,164,National Gallery of Art
Plate Number 165. Jumping and pole-vaulting,https://api.nga.gov/iiif/2291ee5e-44e6-4117-bb04-24700c6d1dd0/info.json,165,National Gallery of Art
Plate Number 166. Jumping over a man's back (leapfrog),https://api.nga.gov/iiif/00b99617-599a-4b34-b640-91a203a5cd33/info.json,166,National Gallery of Art
Plate Number 167. Jumping over a boy's back (leapfrog),https://api.nga.gov/iiif/39a98705-d9a8-4045-a021-2551e739f162/info.json,167,National Gallery of Art
Plate Number 168. Jumping over a boy's back (leapfrog),https://api.nga.gov/iiif/27a6f3ad-7486-45a6-9056-a02705977d55/info.json,168,National Gallery of Art
Plate Number 169. Jumping over boy's back (leapfrog),https://api.nga.gov/iiif/8c97ea7c-a5e6-4e7d-8863-1802f1aa6a47/info.json,169,National Gallery of Art
Plate Number 170. Jumping from stone to stone across a brook,https://api.nga.gov/iiif/b8eaf644-bc37-4870-8113-f3ab3df1157b/info.json,170,National Gallery of Art
"Plate Number 171. Stepping up on a trestle, jumping down and turning",https://api.nga.gov/iiif/c677ae3e-c063-4aaa-9b98-35f17f88a779/info.json,171,National Gallery of Art
"Plate Number 172. Stepping up on a trestle, jumping down and turning",https://api.nga.gov/iiif/fd7821e1-21fd-4265-87ea-bb6c9bad474c/info.json,172,National Gallery of Art
Plate Number 173. Ascending steps and jumping off,https://api.nga.gov/iiif/362ab89b-623a-47df-b35a-851fdd3fadc7/info.json,173,National Gallery of Art
Plate Number 174. Running and jumping with skipping rope,https://api.nga.gov/iiif/54a09299-3a51-43f5-bddb-0c99006cc2de/info.json,174,National Gallery of Art
Plate Number 175. Crossing brook on stepping-stones with a fishing pole and can,https://api.nga.gov/iiif/3802300d-6a5b-45d6-9faa-cf19c772c8e8/info.json,175,National Gallery of Art
Plate Number 176. Crossing brook on stepping-stones with fishing pole and a basket,https://api.nga.gov/iiif/a9cb2aa6-cd04-4e7f-8d23-ee5dc231ff5d/info.json,176,National Gallery of Art
Plate Number 177. Crossing brook on stepping-stones with fishing pole and a basket,https://api.nga.gov/iiif/7db522f8-7745-46b4-9af0-5ab0109e9d44/info.json,177,National Gallery of Art
